AnalyticalRecord,Passage,Analysis,List
urn:cite:ptolemy:geotype_ex.35,urn:cts:greekLit:tlg0363.tlg009.hc01:2.4.11,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.36,urn:cts:greekLit:tlg0363.tlg009.hc01:2.4.12,urn:cite:ptolemy:geotype.6,
urn:cite:ptolemy:geotype_ex.37,urn:cts:greekLit:tlg0363.tlg009.hc01:2.4.13,urn:cite:ptolemy:geotype.5,
urn:cite:ptolemy:geotype_ex.38,urn:cts:greekLit:tlg0363.tlg009.hc01:2.5.1,urn:cite:ptolemy:geotype.1,
urn:cite:ptolemy:geotype_ex.39,urn:cts:greekLit:tlg0363.tlg009.hc01:2.5.2,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.40,urn:cts:greekLit:tlg0363.tlg009.hc01:2.5.3,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.41,urn:cts:greekLit:tlg0363.tlg009.hc01:2.5.4,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.42,urn:cts:greekLit:tlg0363.tlg009.hc01:2.5.5,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.43,urn:cts:greekLit:tlg0363.tlg009.hc01:2.5.6,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.44,urn:cts:greekLit:tlg0363.tlg009.hc01:2.5.7,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.45,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.1,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.46,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.2,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.47,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.3,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.48,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.4,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.49,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.5,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.50,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.6,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.51,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.7,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.52,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.8,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.53,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.9,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.54,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.10,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.55,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.11,urn:cite:ptolemy:geotype.1,
urn:cite:ptolemy:geotype_ex.56,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.12,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.57,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.13,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.58,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.14,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.59,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.15,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.60,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.16,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.61,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.17,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.62,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.18,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.63,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.19,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.64,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.20,urn:cite:ptolemy:geotype.6,
urn:cite:ptolemy:geotype_ex.65,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.21,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.66,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.22,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.67,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.23,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.68,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.24,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.69,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.25,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.70,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.26,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.71,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.27,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.72,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.28,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.73,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.29,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.74,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.30,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.75,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.31,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.76,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.32,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.77,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.33,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.78,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.34,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.79,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.35,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.80,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.36,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.81,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.37,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.82,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.38,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.83,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.39,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.84,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.40,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.85,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.41,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.86,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.42,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.87,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.43,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.88,urn:cts:greekLit:tlg0363.tlg009.hc01:2.6.44,urn:cite:ptolemy:geotype.4,
