AnalyticalRecord,Passage,Analysis,List
urn:cite:ptolemy:geotype_ex.189,urn:cts:greekLit:tlg0363.tlg009.hc01:2.14.5,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.190,urn:cts:greekLit:tlg0363.tlg009.hc01:2.15.1,urn:cite:ptolemy:geotype.1,
urn:cite:ptolemy:geotype_ex.191,urn:cts:greekLit:tlg0363.tlg009.hc01:2.15.2,urn:cite:ptolemy:geotype.3,
urn:cite:ptolemy:geotype_ex.192,urn:cts:greekLit:tlg0363.tlg009.hc01:2.15.3,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.193,urn:cts:greekLit:tlg0363.tlg009.hc01:2.15.4,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.194,urn:cts:greekLit:tlg0363.tlg009.hc01:2.16.1,urn:cite:ptolemy:geotype.1,
urn:cite:ptolemy:geotype_ex.195,urn:cts:greekLit:tlg0363.tlg009.hc01:2.16.2,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.196,urn:cts:greekLit:tlg0363.tlg009.hc01:2.16.3,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.197,urn:cts:greekLit:tlg0363.tlg009.hc01:2.16.4,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.198,urn:cts:greekLit:tlg0363.tlg009.hc01:2.16.5,urn:cite:ptolemy:geotype.3,
urn:cite:ptolemy:geotype_ex.199,urn:cts:greekLit:tlg0363.tlg009.hc01:2.16.6,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.200,urn:cts:greekLit:tlg0363.tlg009.hc01:2.16.7,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.201,urn:cts:greekLit:tlg0363.tlg009.hc01:2.16.8,urn:cite:ptolemy:geotype.5,
urn:cite:ptolemy:geotype_ex.202,urn:cts:greekLit:tlg0363.tlg009.hc01:2.16.9,urn:cite:ptolemy:geotype.5,
urn:cite:ptolemy:geotype_ex.203,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.1,urn:cite:ptolemy:geotype.1,
urn:cite:ptolemy:geotype_ex.204,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.2,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.205,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.3,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.206,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.4,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.207,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.5,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.208,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.6,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.209,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.7,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.210,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.8,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.211,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.9,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.212,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.10,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.213,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.11,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.214,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.12,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.215,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.13,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.216,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.14,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.217,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.15,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.218,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.16,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.219,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.17,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.220,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.18,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.221,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.19,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.222,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.20,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.223,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.21,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.224,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.22,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.225,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.23,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.226,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.24,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.227,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.25,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.228,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.26,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.229,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.27,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.230,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.28,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.231,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.29,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.232,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.30,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.233,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.31,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.234,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.32,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.235,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.33,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.236,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.34,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.237,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.35,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.238,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.36,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.239,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.37,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.240,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.38,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.241,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.39,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.242,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.40,urn:cite:ptolemy:geotype.6,
urn:cite:ptolemy:geotype_ex.243,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.41,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.244,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.42,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.245,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.43,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.246,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.44,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.247,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.45,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.248,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.46,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.249,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.47,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.250,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.48,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.251,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.49,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.252,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.50,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.253,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.51,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.254,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.52,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.255,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.53,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.256,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.54,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.257,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.55,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.258,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.56,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.259,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.57,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.260,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.58,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.261,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.59,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.262,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.60,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.263,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.61,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.264,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.62,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.265,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.63,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.266,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.64,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.267,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.65,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.268,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.66,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.269,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.67,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.270,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.68,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.271,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.69,urn:cite:ptolemy:geotype.5,
urn:cite:ptolemy:geotype_ex.272,urn:cts:greekLit:tlg0363.tlg009.hc01:3.2.1,urn:cite:ptolemy:geotype.1,
urn:cite:ptolemy:geotype_ex.273,urn:cts:greekLit:tlg0363.tlg009.hc01:3.2.2,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.274,urn:cts:greekLit:tlg0363.tlg009.hc01:3.2.3,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.275,urn:cts:greekLit:tlg0363.tlg009.hc01:3.2.4,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.276,urn:cts:greekLit:tlg0363.tlg009.hc01:3.2.5,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.277,urn:cts:greekLit:tlg0363.tlg009.hc01:3.2.6,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.278,urn:cts:greekLit:tlg0363.tlg009.hc01:3.2.7,urn:cite:ptolemy:geotype.3,
urn:cite:ptolemy:geotype_ex.279,urn:cts:greekLit:tlg0363.tlg009.hc01:3.2.8,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.280,urn:cts:greekLit:tlg0363.tlg009.hc01:3.3.1,urn:cite:ptolemy:geotype.1,
urn:cite:ptolemy:geotype_ex.281,urn:cts:greekLit:tlg0363.tlg009.hc01:3.3.2,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.282,urn:cts:greekLit:tlg0363.tlg009.hc01:3.3.3,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.283,urn:cts:greekLit:tlg0363.tlg009.hc01:3.3.4,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.284,urn:cts:greekLit:tlg0363.tlg009.hc01:3.3.5,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.285,urn:cts:greekLit:tlg0363.tlg009.hc01:3.3.6,urn:cite:ptolemy:geotype.3,
urn:cite:ptolemy:geotype_ex.286,urn:cts:greekLit:tlg0363.tlg009.hc01:3.3.7,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.287,urn:cts:greekLit:tlg0363.tlg009.hc01:3.3.8,urn:cite:ptolemy:geotype.5,
urn:cite:ptolemy:geotype_ex.288,urn:cts:greekLit:tlg0363.tlg009.hc01:3.4.1,urn:cite:ptolemy:geotype.1,
urn:cite:ptolemy:geotype_ex.289,urn:cts:greekLit:tlg0363.tlg009.hc01:3.4.2,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.290,urn:cts:greekLit:tlg0363.tlg009.hc01:3.4.3,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.291,urn:cts:greekLit:tlg0363.tlg009.hc01:3.4.4,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.292,urn:cts:greekLit:tlg0363.tlg009.hc01:3.4.5,urn:cite:ptolemy:geotype.6,
urn:cite:ptolemy:geotype_ex.293,urn:cts:greekLit:tlg0363.tlg009.hc01:3.4.6,urn:cite:ptolemy:geotype.3,
urn:cite:ptolemy:geotype_ex.294,urn:cts:greekLit:tlg0363.tlg009.hc01:3.4.7,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.295,urn:cts:greekLit:tlg0363.tlg009.hc01:3.4.8,urn:cite:ptolemy:geotype.5,
urn:cite:ptolemy:geotype_ex.296,urn:cts:greekLit:tlg0363.tlg009.hc01:3.5.1,urn:cite:ptolemy:geotype.1,
urn:cite:ptolemy:geotype_ex.297,urn:cts:greekLit:tlg0363.tlg009.hc01:3.5.2,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.298,urn:cts:greekLit:tlg0363.tlg009.hc01:3.5.3,urn:cite:ptolemy:geotype.1,
urn:cite:ptolemy:geotype_ex.299,urn:cts:greekLit:tlg0363.tlg009.hc01:3.5.4,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.300,urn:cts:greekLit:tlg0363.tlg009.hc01:3.5.5,urn:cite:ptolemy:geotype.6,
urn:cite:ptolemy:geotype_ex.301,urn:cts:greekLit:tlg0363.tlg009.hc01:3.5.6,urn:cite:ptolemy:geotype.10,
urn:cite:ptolemy:geotype_ex.302,urn:cts:greekLit:tlg0363.tlg009.hc01:3.5.7,urn:cite:ptolemy:geotype.3,
urn:cite:ptolemy:geotype_ex.303,urn:cts:greekLit:tlg0363.tlg009.hc01:3.5.8,urn:cite:ptolemy:geotype.3,
urn:cite:ptolemy:geotype_ex.304,urn:cts:greekLit:tlg0363.tlg009.hc01:3.5.9,urn:cite:ptolemy:geotype.3,
urn:cite:ptolemy:geotype_ex.305,urn:cts:greekLit:tlg0363.tlg009.hc01:3.5.10,urn:cite:ptolemy:geotype.3,
urn:cite:ptolemy:geotype_ex.306,urn:cts:greekLit:tlg0363.tlg009.hc01:3.5.11,urn:cite:ptolemy:geotype.3,
urn:cite:ptolemy:geotype_ex.307,urn:cts:greekLit:tlg0363.tlg009.hc01:3.5.12,urn:cite:ptolemy:geotype.10,
urn:cite:ptolemy:geotype_ex.308,urn:cts:greekLit:tlg0363.tlg009.hc01:3.5.13,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.309,urn:cts:greekLit:tlg0363.tlg009.hc01:3.5.14,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.310,urn:cts:greekLit:tlg0363.tlg009.hc01:3.5.15,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.311,urn:cts:greekLit:tlg0363.tlg009.hc01:3.5.16,urn:cite:ptolemy:geotype.5,
urn:cite:ptolemy:geotype_ex.312,urn:cts:greekLit:tlg0363.tlg009.hc01:3.6.1,urn:cite:ptolemy:geotype.1,
urn:cite:ptolemy:geotype_ex.313,urn:cts:greekLit:tlg0363.tlg009.hc01:3.6.2,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.314,urn:cts:greekLit:tlg0363.tlg009.hc01:3.6.3,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.315,urn:cts:greekLit:tlg0363.tlg009.hc01:3.6.4,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.316,urn:cts:greekLit:tlg0363.tlg009.hc01:3.6.5,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.317,urn:cts:greekLit:tlg0363.tlg009.hc01:3.7.1,urn:cite:ptolemy:geotype.1,
urn:cite:ptolemy:geotype_ex.318,urn:cts:greekLit:tlg0363.tlg009.hc01:3.7.2,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.319,urn:cts:greekLit:tlg0363.tlg009.hc01:3.8.1,urn:cite:ptolemy:geotype.1,
urn:cite:ptolemy:geotype_ex.320,urn:cts:greekLit:tlg0363.tlg009.hc01:3.8.2,urn:cite:ptolemy:geotype.1,
urn:cite:ptolemy:geotype_ex.321,urn:cts:greekLit:tlg0363.tlg009.hc01:3.8.3,urn:cite:ptolemy:geotype.3,
urn:cite:ptolemy:geotype_ex.322,urn:cts:greekLit:tlg0363.tlg009.hc01:3.8.4,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.323,urn:cts:greekLit:tlg0363.tlg009.hc01:3.9.1,urn:cite:ptolemy:geotype.1,
urn:cite:ptolemy:geotype_ex.324,urn:cts:greekLit:tlg0363.tlg009.hc01:3.9.2,urn:cite:ptolemy:geotype.1,
urn:cite:ptolemy:geotype_ex.325,urn:cts:greekLit:tlg0363.tlg009.hc01:3.9.3,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.326,urn:cts:greekLit:tlg0363.tlg009.hc01:3.9.4,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.327,urn:cts:greekLit:tlg0363.tlg009.hc01:3.10.1,urn:cite:ptolemy:geotype.1,
urn:cite:ptolemy:geotype_ex.328,urn:cts:greekLit:tlg0363.tlg009.hc01:3.10.2,urn:cite:ptolemy:geotype.10,
urn:cite:ptolemy:geotype_ex.329,urn:cts:greekLit:tlg0363.tlg009.hc01:3.10.3,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.330,urn:cts:greekLit:tlg0363.tlg009.hc01:3.10.4,urn:cite:ptolemy:geotype.3,
urn:cite:ptolemy:geotype_ex.331,urn:cts:greekLit:tlg0363.tlg009.hc01:3.10.5,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.332,urn:cts:greekLit:tlg0363.tlg009.hc01:3.10.6,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.333,urn:cts:greekLit:tlg0363.tlg009.hc01:3.10.7,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.334,urn:cts:greekLit:tlg0363.tlg009.hc01:3.10.8,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.335,urn:cts:greekLit:tlg0363.tlg009.hc01:3.10.9,urn:cite:ptolemy:geotype.5,
urn:cite:ptolemy:geotype_ex.336,urn:cts:greekLit:tlg0363.tlg009.hc01:3.11.1,urn:cite:ptolemy:geotype.1,
urn:cite:ptolemy:geotype_ex.337,urn:cts:greekLit:tlg0363.tlg009.hc01:3.11.2,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.338,urn:cts:greekLit:tlg0363.tlg009.hc01:3.11.3,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.339,urn:cts:greekLit:tlg0363.tlg009.hc01:3.11.4,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.340,urn:cts:greekLit:tlg0363.tlg009.hc01:3.11.5,urn:cite:ptolemy:geotype.6,
urn:cite:ptolemy:geotype_ex.341,urn:cts:greekLit:tlg0363.tlg009.hc01:3.11.6,urn:cite:ptolemy:geotype.11,
urn:cite:ptolemy:geotype_ex.342,urn:cts:greekLit:tlg0363.tlg009.hc01:3.11.7,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.343,urn:cts:greekLit:tlg0363.tlg009.hc01:3.11.8,urn:cite:ptolemy:geotype.5,
urn:cite:ptolemy:geotype_ex.344,urn:cts:greekLit:tlg0363.tlg009.hc01:3.11.9,urn:cite:ptolemy:geotype.1,
urn:cite:ptolemy:geotype_ex.345,urn:cts:greekLit:tlg0363.tlg009.hc01:3.11.10,urn:cite:ptolemy:geotype.1,
urn:cite:ptolemy:geotype_ex.346,urn:cts:greekLit:tlg0363.tlg009.hc01:3.12.1,urn:cite:ptolemy:geotype.1,
urn:cite:ptolemy:geotype_ex.347,urn:cts:greekLit:tlg0363.tlg009.hc01:3.12.2,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.348,urn:cts:greekLit:tlg0363.tlg009.hc01:3.12.3,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.349,urn:cts:greekLit:tlg0363.tlg009.hc01:3.12.4,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.350,urn:cts:greekLit:tlg0363.tlg009.hc01:3.12.5,urn:cite:ptolemy:geotype.1,
urn:cite:ptolemy:geotype_ex.351,urn:cts:greekLit:tlg0363.tlg009.hc01:3.12.6,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.352,urn:cts:greekLit:tlg0363.tlg009.hc01:3.12.7,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.353,urn:cts:greekLit:tlg0363.tlg009.hc01:3.12.8,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.354,urn:cts:greekLit:tlg0363.tlg009.hc01:3.12.9,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.355,urn:cts:greekLit:tlg0363.tlg009.hc01:3.12.10,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.356,urn:cts:greekLit:tlg0363.tlg009.hc01:3.12.11,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.357,urn:cts:greekLit:tlg0363.tlg009.hc01:3.12.12,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.358,urn:cts:greekLit:tlg0363.tlg009.hc01:3.12.13,urn:cite:ptolemy:geotype.7,
urn:cite:ptolemy:geotype_ex.359,urn:cts:greekLit:tlg0363.tlg009.hc01:3.12.14,urn:cite:ptolemy:geotype.10,
urn:cite:ptolemy:geotype_ex.360,urn:cts:greekLit:tlg0363.tlg009.hc01:3.12.15,urn:cite:ptolemy:geotype.6,
urn:cite:ptolemy:geotype_ex.361,urn:cts:greekLit:tlg0363.tlg009.hc01:3.12.16,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.362,urn:cts:greekLit:tlg0363.tlg009.hc01:3.12.17,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.363,urn:cts:greekLit:tlg0363.tlg009.hc01:3.12.18,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.364,urn:cts:greekLit:tlg0363.tlg009.hc01:3.12.19,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.365,urn:cts:greekLit:tlg0363.tlg009.hc01:3.12.20,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.366,urn:cts:greekLit:tlg0363.tlg009.hc01:3.12.21,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.367,urn:cts:greekLit:tlg0363.tlg009.hc01:3.12.22,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.368,urn:cts:greekLit:tlg0363.tlg009.hc01:3.12.23,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.369,urn:cts:greekLit:tlg0363.tlg009.hc01:3.12.24,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.370,urn:cts:greekLit:tlg0363.tlg009.hc01:3.12.25,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.371,urn:cts:greekLit:tlg0363.tlg009.hc01:3.12.26,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.372,urn:cts:greekLit:tlg0363.tlg009.hc01:3.12.27,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.373,urn:cts:greekLit:tlg0363.tlg009.hc01:3.12.28,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.374,urn:cts:greekLit:tlg0363.tlg009.hc01:3.12.29,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.375,urn:cts:greekLit:tlg0363.tlg009.hc01:3.12.30,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.376,urn:cts:greekLit:tlg0363.tlg009.hc01:3.12.31,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.377,urn:cts:greekLit:tlg0363.tlg009.hc01:3.12.32,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.378,urn:cts:greekLit:tlg0363.tlg009.hc01:3.12.33,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.379,urn:cts:greekLit:tlg0363.tlg009.hc01:3.12.34,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.380,urn:cts:greekLit:tlg0363.tlg009.hc01:3.12.35,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.381,urn:cts:greekLit:tlg0363.tlg009.hc01:3.12.36,urn:cite:ptolemy:geotype.4,
urn:cite:ptolemy:geotype_ex.382,urn:cts:greekLit:tlg0363.tlg009.hc01:3.12.37,urn:cite:ptolemy:geotype.4,
