AnalyticalRecord,Passage,Analysis
urn:cite:ptolemy:ethnic_ex.45,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.37,urn:cite:ptolemy:ethnic.46
urn:cite:ptolemy:ethnic_ex.46,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.38,urn:cite:ptolemy:ethnic.47
urn:cite:ptolemy:ethnic_ex.47,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.39,urn:cite:ptolemy:ethnic.48
urn:cite:ptolemy:ethnic_ex.48,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.41,urn:cite:ptolemy:ethnic.12
urn:cite:ptolemy:ethnic_ex.49,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.42,urn:cite:ptolemy:ethnic.50
urn:cite:ptolemy:ethnic_ex.50,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.43,urn:cite:ptolemy:ethnic.13
urn:cite:ptolemy:ethnic_ex.51,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.44,urn:cite:ptolemy:ethnic.28
urn:cite:ptolemy:ethnic_ex.52,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.45,urn:cite:ptolemy:ethnic.27
urn:cite:ptolemy:ethnic_ex.53,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.46,urn:cite:ptolemy:ethnic.54
urn:cite:ptolemy:ethnic_ex.54,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.47,urn:cite:ptolemy:ethnic.54
urn:cite:ptolemy:ethnic_ex.55,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.48,urn:cite:ptolemy:ethnic.56
urn:cite:ptolemy:ethnic_ex.56,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.49,urn:cite:ptolemy:ethnic.57
urn:cite:ptolemy:ethnic_ex.57,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.50,urn:cite:ptolemy:ethnic.58
urn:cite:ptolemy:ethnic_ex.58,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.51,urn:cite:ptolemy:ethnic.59
urn:cite:ptolemy:ethnic_ex.59,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.52,urn:cite:ptolemy:ethnic.60
urn:cite:ptolemy:ethnic_ex.60,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.53,urn:cite:ptolemy:ethnic.26
urn:cite:ptolemy:ethnic_ex.61,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.54,urn:cite:ptolemy:ethnic.14
urn:cite:ptolemy:ethnic_ex.62,urn:cts:greekLit:tlg0363.tlg009.hc01:3.1.55,urn:cite:ptolemy:ethnic.25
