URN,Passage,Analysis
urn:cite:ptolemy:continent_ex.1,urn:cts:greekLit:tlg0363.tlg009.hc01:2-3,urn:cite:ptolemy:continent.europe
urn:cite:ptolemy:continent_ex.2,urn:cts:greekLit:tlg0363.tlg009.hc01:4,urn:cite:ptolemy:continent.libya
urn:cite:ptolemy:continent_ex.3,urn:cts:greekLit:tlg0363.tlg009.hc01:5-7.4,urn:cite:ptolemy:continent.asia
