URN,Passage,Analysis
urn:cite:ptolemy:province_ex.50,urn:cts:greekLit:tlg0363.tlg009.hc01:5.12,urn:cite:ptolemy:province.34
urn:cite:ptolemy:province_ex.51,urn:cts:greekLit:tlg0363.tlg009.hc01:5.13,urn:cite:ptolemy:province.41
urn:cite:ptolemy:province_ex.52,urn:cts:greekLit:tlg0363.tlg009.hc01:5.14,urn:cite:ptolemy:province.51
urn:cite:ptolemy:province_ex.53,urn:cts:greekLit:tlg0363.tlg009.hc01:5.15,urn:cite:ptolemy:province.82
urn:cite:ptolemy:province_ex.54,urn:cts:greekLit:tlg0363.tlg009.hc01:5.16,urn:cite:ptolemy:province.69
urn:cite:ptolemy:province_ex.55,urn:cts:greekLit:tlg0363.tlg009.hc01:5.17,urn:cite:ptolemy:province.37
urn:cite:ptolemy:province_ex.56,urn:cts:greekLit:tlg0363.tlg009.hc01:5.18,urn:cite:ptolemy:province.67
urn:cite:ptolemy:province_ex.57,urn:cts:greekLit:tlg0363.tlg009.hc01:5.19,urn:cite:ptolemy:province.35
urn:cite:ptolemy:province_ex.58,urn:cts:greekLit:tlg0363.tlg009.hc01:5.20,urn:cite:ptolemy:province.44
urn:cite:ptolemy:province_ex.59,urn:cts:greekLit:tlg0363.tlg009.hc01:6.1,urn:cite:ptolemy:province.43
urn:cite:ptolemy:province_ex.60,urn:cts:greekLit:tlg0363.tlg009.hc01:6.2,urn:cite:ptolemy:province.66
urn:cite:ptolemy:province_ex.61,urn:cts:greekLit:tlg0363.tlg009.hc01:6.3,urn:cite:ptolemy:province.81
urn:cite:ptolemy:province_ex.62,urn:cts:greekLit:tlg0363.tlg009.hc01:6.4,urn:cite:ptolemy:province.72
urn:cite:ptolemy:province_ex.63,urn:cts:greekLit:tlg0363.tlg009.hc01:6.5,urn:cite:ptolemy:province.71
urn:cite:ptolemy:province_ex.64,urn:cts:greekLit:tlg0363.tlg009.hc01:6.6,urn:cite:ptolemy:province.48
urn:cite:ptolemy:province_ex.65,urn:cts:greekLit:tlg0363.tlg009.hc01:6.7,urn:cite:ptolemy:province.36
urn:cite:ptolemy:province_ex.66,urn:cts:greekLit:tlg0363.tlg009.hc01:6.8,urn:cite:ptolemy:province.37
urn:cite:ptolemy:province_ex.67,urn:cts:greekLit:tlg0363.tlg009.hc01:6.9,urn:cite:ptolemy:province.56
