Province,Label,0,1,2,3,4,5,6,7,8,9,10,11
urn:cite:ptolemy:province.68,'Pamphylia',6,1,4,9,5,0,5,1,6,1,8,1
urn:cite:ptolemy:province.69,'palestine',5,4,5,8,3,0,7,1,5,1,5,1
urn:cite:ptolemy:province.70,'Paropanisadae',8,0,0,0,1,0,6,0,2,1,0,0
urn:cite:ptolemy:province.71,'parthia',12,0,1,7,2,0,5,0,0,0,1,0
urn:cite:ptolemy:province.72,'Persis',24,0,1,4,1,0,5,0,6,2,1,0
urn:cite:ptolemy:province.73,'Pontus and Bithynia',14,2,1,4,7,0,12,2,6,8,3,3
urn:cite:ptolemy:province.74,'sacae',6,0,0,0,0,0,0,0,0,0,0,0
urn:cite:ptolemy:province.75,'Sarmatia in Asia',48,0,1,1,2,0,17,0,5,0,0,0
urn:cite:ptolemy:province.76,'Nearer Scythia',23,0,0,0,0,0,1,0,0,0,0,0
urn:cite:ptolemy:province.77,'Further Scythia',13,0,0,0,0,0,0,0,0,0,0,0
urn:cite:ptolemy:province.78,'serice',30,0,0,0,1,0,3,0,2,0,0,0
urn:cite:ptolemy:province.79,'sinae',11,0,0,0,3,0,1,0,2,0,2,0
urn:cite:ptolemy:province.81,'susiana',12,0,3,1,0,0,11,0,2,2,0,0
urn:cite:ptolemy:province.82,'Syria Coele',40,0,8,13,20,1,31,3,18,11,15,1
urn:cite:ptolemy:province.83,'Taprobane',45,0,1,2,4,0,9,0,6,0,0,0
